time,state
0,0
4,0
7,0
11,0
14,0
17,0
20,0
23,0
27,0
30,0
33,0
36,0
39,0
43,0
46,0
49,0
52,0
55,0
59,0
62,0
65,0
68,0
71,0
75,0
78,0
81,0
84,0
87,0
91,0
94,0
97,0
100,0
103,0
106,0
110,0
113,0
116,0
119,0
123,0
126,0
129,0
132,0
135,0
138,0
142,0
145,0
148,0
151,0
154,0
158,0
161,0
164,0
167,0
170,0
174,0
177,0
180,0
183,0
186,0
190,0
193,0
196,0
199,0
202,0
206,0
209,0
212,0
215,0
218,0
222,0
225,0
228,0
231,0
234,0
238,0
241,0
244,0
247,0
250,0
254,0
257,0
260,0
263,0
266,0
270,0
273,0
276,0
279,0
282,0
286,0
317,0
320,0
323,0
327,0
330,0
333,0
336,0
339,0
343,0
346,0
349,0
352,0
355,0
359,0
362,0
365,0
368,0
371,0
375,0
378,0
381,0
384,0
387,0
391,0
394,0
397,0
400,0
403,0
407,0
410,0
413,0
416,0
419,0
423,0
426,0
429,0
432,0
435,0
439,0
442,0
445,0
448,0
451,0
455,0
458,0
461,0
464,0
467,0
471,0
474,0
477,0
480,0
483,0
486,0
490,0
493,0
496,0
499,0
502,0
506,0
509,0
512,0
515,0
518,0
522,0
525,0
528,1
531,1
534,1
538,1
541,1
544,1
547,1
550,1
554,1
557,1
560,1
563,1
566,1
570,1
573,1
576,1
579,1
582,1
586,1
592,1
595,1
598,1
602,1
605,1
608,1
611,1
615,1
618,1
621,1
624,1
627,1
630,1
634,1
637,1
640,1
643,0
646,0
650,0
653,0
656,0
659,0
662,0
666,0
669,0
672,0
675,0
678,0
682,0
685,0
688,0
691,0
694,0
698,0
701,0
704,0
707,0
710,0
714,0
717,0
720,0
723,0
726,0
730,0
733,0
736,1
804,1
807,1
810,1
813,1
817,1
820,1
823,1
826,1
829,1
833,1
836,1
839,1
842,1
845,1
849,1
852,1
855,1
858,1
861,1
865,1
868,1
871,1
874,1
877,1
881,0
884,0
887,0
890,0
893,0
897,0
900,0
903,0
906,0
909,0
913,0
916,0
919,0
922,0
925,0
929,0
932,0
935,0
938,0
941,0
945,0
948,0
951,1
954,1
957,1
961,1
964,1
967,1
970,1
973,1
977,1
980,1
983,1
986,1
989,1
992,1
996,1
999,1
1002,1
1005,1
1008,1
1012,1
1015,1
1018,1
1021,1
1024,1
1028,1
1031,1
1034,1
1037,1
1040,1
1044,1
1047,1
1050,1
1053,1
1056,1
1060,1
1063,1
1066,1
1069,1
1072,1
1076,1
1079,1
1082,1
1085,1
1088,1
1092,1
1095,1
1098,1
1101,1
1104,1
1108,1
1111,1
1114,1
1117,1
1120,1
1123,1
1127,1
1130,1
1133,1
1136,1
1139,1
1143,1
1146,1
1149,1
1152,1
1155,1
1159,1
1162,1
1165,1
1168,1
1171,1
1178,1
1181,1
1184,1
1188,1
1191,1
1194,1
1197,1
1200,1
1204,1
1207,1
1210,1
1213,1
1216,1
1220,1
1223,1
1226,1
1229,1
1232,1
1236,1
1239,1
1242,1
1245,1
1248,1
1252,1
1255,1
1258,1
1261,1
1264,1
1268,1
1271,1
1274,1
1277,1
1280,1
1284,1
1287,1
1290,1
1293,1
1296,1
1300,1
1303,1
1306,1
1309,1
1312,1
1316,1
1319,1
1322,1
1325,1
1328,1
1332,1
1335,1
1338,1
1341,1
1344,1
1348,1
1351,1
1354,1
1357,1
1360,1
1363,1
1367,1
1370,1
1373,1
1376,1
1379,1
1383,1
1386,1
1389,1
1392,1
1395,1
1399,1
1402,1
1405,1
1408,1
1411,1
1415,1
1418,1
1421,1
1424,1
1427,1
1431,1
1434,1
1437,1
1440,1
1443,1
1447,1
1450,1
1453,1
1456,1
1459,1
1463,1
1466,1
1469,1
1472,1
1475,1
1479,1
1482,1
1485,1
1488,1
1491,1
1495,1
1498,1
1501,1
1504,1
1507,1
1511,1
1514,1
1517,1
1520,1
1523,1
1526,1
1530,1
1533,1
1536,1
1539,1
1542,1
1546,1
1549,1
1552,1
1555,1
1558,1
1562,1
1565,1
1568,1
1571,1
1574,1
1578,1
1581,1
1584,1
1587,1
1590,1
1594,1
1597,1
1600,1
1603,1
1606,1
1610,1
1613,1
1616,1
1619,1
1622,1
1626,1
1629,1
1632,1
1635,1
1638,1
1642,1
1648,1
1651,1
1655,1
1658,1
1661,1
1664,1
1667,1
1671,1
1674,1
1677,1
1680,1
1683,1
1687,1
1690,1
1693,1
1696,1
1699,1
1703,1
1706,1
1709,1
1712,1
1715,1
1719,1
1722,1
1725,1
1728,1
1731,1
1735,1
1738,1
1741,1
1744,1
1747,1
1751,1
1754,1
1757,1
1760,1
1763,1
1767,1
1770,1
1773,1
1776,1
1779,1
1783,1
1786,1
1789,1
1792,1
1795,1
1799,1
1802,1
1805,1
1808,1
1811,1
1814,1
1818,1
1821,1
1824,1
1827,1
1830,1
1834,1
1837,1
1840,1
1843,1
1846,1
1850,1
1853,1
1856,1
1859,1
1862,1
1866,1
1869,1
1872,1
1875,1
1878,1
1882,1
1885,1
1888,1
1891,1
1894,1
1898,1
1901,1
1904,1
1907,1
1910,1
1914,1
1917,1
1920,1
1923,1
1926,1
1930,1
1933,1
1936,1
1939,1
1942,1
1946,1
1949,1
1952,1
1955,1
1958,1
1962,1
1965,1
1968,1
1971,1
1974,1
1978,1
1981,1
1984,1
1987,1
1990,1
1994,1
1997,1
2000,1
2003,1
2006,1
2010,1
2013,1
2016,1
2019,1
2022,1
2026,1
2029,1
2032,1
2035,1
2038,1
2042,1
2045,1
2048,1
2051,1
2054,1
2058,1
2061,1
2064,1
2067,1
2070,1
2074,1
2077,1
2080,1
2083,1
2086,1
2090,1
2093,1
2096,1
2099,1
2102,1
2106,1
2109,1
2112,1
2146,1
2150,1
2153,1
2156,1
2159,1
2162,1
2166,1
2169,1
2172,1
2175,1
2178,1
2182,1
2185,1
2188,1
2191,1
2194,1
2198,1
2201,1
2204,1
2207,1
2210,1
2214,1
2217,1
2220,1
2223,1
2226,1
2230,1
2233,1
2236,1
2239,1
2242,1
2246,1
2249,1
2252,1
2255,1
2258,1
2262,1
2265,1
2268,1
2271,1
2274,1
2278,1
2281,1
2284,1
2287,1
2290,1
2294,1
2297,1
2300,1
2303,1
2306,1
2310,1
2313,1
2316,1
2319,1
2322,1
2325,1
2329,1
2332,1
2335,1
2338,1
2341,1
2345,1
2348,1
2351,1
2354,1
2357,1
2361,1
2364,1
2367,1
2370,1
2373,1
2377,1
2380,1
2383,1
2386,1
2389,1
2393,1
2396,1
2399,1
2402,1
2406,1
2409,1
2412,1
2415,1
2418,1
2421,1
2425,1
2428,1
2431,1
2434,1
2437,1
2441,1
2444,1
2447,1
2450,1
2453,1
2457,1
2460,1
2463,1
2466,1
2469,1
2473,1
2476,1
2479,1
2482,1
2485,1
2489,1
2492,1
2495,1
2498,1
2501,1
2505,1
2508,1
2511,1
2514,1
2517,1
2521,1
2524,1
2527,1
2530,1
2533,1
2537,1
2540,1
2543,1
2546,1
2549,1
2553,1
2556,1
2559,1
2562,1
2565,1
2569,1
2572,1
2575,1
2578,1
2581,1
2584,1
2588,1
2591,1
2594,1
2597,1
2600,1
2604,1
2607,1
2610,1
2616,1
2620,1
2623,1
2626,1
2629,1
2633,1
2636,1
2639,1
2642,1
2645,1
2649,1
2652,1
2655,1
2658,1
2661,1
2665,1
2668,1
2671,1
2674,1
2677,1
2681,1
2684,1
2687,1
2690,1
2693,1
2697,1
2700,1
2703,1
2706,1
2709,1
2713,1
2716,1
2719,1
2722,1
2725,1
2729,1
2732,1
2735,0
2738,0
2741,0
2745,0
2748,0
2751,0
2754,0
2757,0
2761,0
2764,0
2767,0
2770,0
2773,0
2777,0
2780,0
2783,0
2786,0
2789,0
2793,0
2796,0
2799,0
2802,0
2805,0
2809,0
2812,0
2815,0
2818,0
2821,0
2825,0
2828,0
2831,0
2834,0
2837,0
2841,0
2844,0
2847,0
2850,1
2853,1
2857,1
2860,1
2863,1
2866,1
2869,1
2873,1
2876,1
2879,1
2882,1
2885,1
2889,1
2892,1
2895,1
2898,1
2901,1
2904,1
2908,1
2911,1
2914,1
2917,1
2921,1
2924,1
2927,1
2930,1
2933,1
2937,1
2940,1
2943,1
2946,1
2949,1
2952,1
2956,0
2959,0
2962,0
2965,0
2968,0
2972,0
2975,0
2978,0
2981,0
2984,0
2988,0
2999,0
3002,0
3005,0
3008,0
3011,0
3014,0
3018,0
3021,0
3024,0
3027,0
3030,0
3034,0
3037,0
3040,0
3043,0
3046,1
3050,1
3053,1
3056,1
3059,1
3062,1
3066,1
3069,1
3072,1
3075,1
3078,1
3082,1
3085,1
3088,1
3094,1
3098,1
3101,1
3104,1
3107,1
3111,1
3114,1
3117,1
3120,1
3123,1
3127,1
3130,1
3133,1
3136,1
3139,1
3143,1
3146,1
3149,1
3152,0
3155,0
3159,0
3162,0
3165,0
3168,0
3171,0
3175,0
3178,0
3181,0
3184,0
3187,0
3191,0
3194,1
3197,1
3200,1
3203,1
3207,1
3210,1
3213,1
3216,1
3219,1
3223,1
3226,1
3229,1
3232,1
3235,1
3239,1
3242,1
3245,1
3248,1
3251,1
3255,1
3258,1
3261,1
3264,1
3267,1
3271,1
3274,1
3277,1
3280,1
3283,1
3287,1
3290,1
3293,1
3296,1
3299,1
3303,1
3306,1
3309,1
3312,1
3315,1
3319,1
3322,1
3325,1
3328,1
3331,1
3334,1
3338,1
3341,1
3344,1
3347,1
3350,1
3354,1
3357,1
3360,1
3363,1
3366,1
3370,1
3373,1
3376,1
3379,1
3382,1
3386,1
3389,0
3392,0
3395,0
3398,0
3402,0
3405,0
3408,0
3411,0
3414,0
3418,0
3421,0
3424,0
3427,0
3430,0
3434,0
3437,0
3440,0
3443,0
3446,0
3450,0
3453,1
3456,1
3459,1
3462,1
3466,1
3469,1
3472,1
3475,1
3478,1
3482,1
3485,1
3488,1
3491,1
3494,1
3498,1
3501,1
3504,1
3507,1
3510,1
3514,1
3517,1
3520,1
3523,1
3526,1
3530,1
3533,1
3536,1
3539,1
3542,1
3546,1
3549,1
3552,1
3555,1
3558,1
3561,1
3568,1
3571,1
3574,1
3578,1
3581,1
3584,1
3587,1
3590,1
3594,1
3597,1
3600,1
3603,1
3607,1
3610,1
3613,1
3616,1
3619,1
3622,1
3626,1
3629,1
3632,1
3635,1
3638,1
3642,1
